"Plot Title: MSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","High Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","Temp, °C (LGR S/N: 20370967, SEN S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)"
149,07/12/18 01:29:04 PM,5325.8,5379.3,20.12,,,,
150,07/12/18 01:59:04 PM,5325.8,5379.3,20.13,,,,
151,07/12/18 02:29:04 PM,5326.4,5379.3,20.13,,,,
152,07/12/18 02:59:04 PM,5325.8,5379.3,20.13,,,,
153,07/12/18 03:29:04 PM,5326.4,5380.0,20.12,,,,
154,07/12/18 03:59:04 PM,5325.8,5379.3,20.12,,,,
155,07/12/18 04:29:04 PM,5325.8,5379.3,20.12,,,,
156,07/12/18 04:59:04 PM,5325.1,5378.7,20.12,,,,
157,07/12/18 05:29:04 PM,5325.1,5377.4,20.12,,,,
158,07/12/18 05:59:04 PM,5325.1,5376.7,20.12,,,,
159,07/12/18 06:29:04 PM,5321.8,5375.4,20.12,,,,
160,07/12/18 06:59:04 PM,5321.8,5374.8,20.12,,,,
161,07/12/18 07:29:04 PM,5321.8,5372.8,20.11,,,,
162,07/12/18 07:59:04 PM,5318.5,5372.2,20.11,,,,
163,07/12/18 08:29:04 PM,5317.8,5370.3,20.11,,,,
164,07/12/18 08:59:04 PM,5317.8,5368.3,20.11,,,,
165,07/12/18 09:29:04 PM,5315.2,5367.7,20.12,,,,
166,07/12/18 09:59:04 PM,5311.8,5364.4,20.11,,,,
167,07/12/18 10:29:04 PM,5311.8,5363.8,20.12,,,,
168,07/12/18 10:59:04 PM,5308.5,5361.9,20.11,,,,
169,07/12/18 11:29:04 PM,5307.9,5359.3,20.12,,,,
170,07/12/18 11:59:04 PM,5305.9,5358.0,20.12,,,,
171,07/13/18 12:29:04 AM,5307.2,5359.3,20.12,,,,
172,07/13/18 12:59:04 AM,5305.2,5356.7,20.12,,,,
173,07/13/18 01:29:04 AM,5307.2,5359.3,20.12,,,,
174,07/13/18 01:59:04 AM,5307.2,5359.3,20.13,,,,
175,07/13/18 02:29:04 AM,5307.2,5359.9,20.12,,,,
176,07/13/18 02:59:04 AM,5309.9,5359.9,20.12,,,,
177,07/13/18 03:29:04 AM,5404.2,5455.7,20.17,,,,
178,07/13/18 03:59:04 AM,5884.2,5955.9,20.41,,,,
179,07/13/18 04:29:04 AM,5808.9,5880.0,20.15,,,,
180,07/13/18 04:59:04 AM,5785.0,5852.4,20.10,,,,
181,07/13/18 05:29:04 AM,5770.7,5835.3,20.12,,,,
182,07/13/18 05:59:04 AM,5763.9,5831.3,20.15,,,,
183,07/13/18 06:29:04 AM,5774.1,5837.9,20.19,,,,
184,07/13/18 06:59:04 AM,5776.8,5839.9,20.20,,,,
185,07/13/18 07:29:04 AM,5778.9,5839.2,20.22,,,,
186,07/13/18 07:59:04 AM,5778.9,5839.2,20.23,,,,
187,07/13/18 08:29:04 AM,5778.2,5837.9,20.23,,,,
188,07/13/18 08:59:04 AM,5778.9,5837.9,20.24,,,,
189,07/13/18 09:29:04 AM,5780.2,5839.2,20.25,,,,
190,07/13/18 09:59:04 AM,5779.6,5839.2,20.25,,,,
191,07/13/18 10:29:04 AM,5779.6,5838.5,20.25,,,,
192,07/13/18 10:59:04 AM,5781.6,5839.9,20.25,,,,
193,07/13/18 11:29:04 AM,5780.9,5839.9,20.24,,,,
194,07/13/18 11:59:04 AM,5780.9,5839.9,20.25,,,,
195,07/13/18 12:29:04 PM,5784.3,5840.5,20.25,,,,
196,07/13/18 12:59:04 PM,5783.0,5841.8,20.25,,,,
197,07/13/18 01:29:04 PM,5785.7,5841.8,20.25,,,,
198,07/13/18 01:59:04 PM,5785.7,5842.5,20.25,,,,
199,07/13/18 02:29:04 PM,5787.7,5843.8,20.25,,,,
200,07/13/18 02:59:04 PM,5785.7,5843.8,20.26,,,,
201,07/13/18 03:29:04 PM,5784.3,5842.5,20.26,,,,
202,07/13/18 03:59:04 PM,5787.7,5842.5,20.26,,,,
203,07/13/18 04:29:04 PM,5783.6,5843.8,20.26,,,,
204,07/13/18 04:59:04 PM,5787.1,5842.5,20.26,,,,
205,07/13/18 05:29:04 PM,5787.1,5843.8,20.26,,,,
206,07/13/18 05:59:04 PM,5789.1,5842.5,20.26,,,,
207,07/13/18 06:29:04 PM,5785.7,5843.8,20.26,,,,
208,07/13/18 06:59:04 PM,5788.4,5842.5,20.26,,,,
209,07/13/18 07:29:04 PM,5788.4,5842.5,20.26,,,,
210,07/13/18 07:59:04 PM,5785.7,5844.5,20.26,,,,
211,07/13/18 08:29:04 PM,5789.1,5843.8,20.26,,,,
212,07/13/18 08:59:04 PM,5788.4,5843.8,20.26,,,,
213,07/13/18 09:29:04 PM,5785.0,5843.8,20.26,,,,
214,07/13/18 09:59:04 PM,5789.1,5842.5,20.26,,,,
215,07/13/18 10:29:04 PM,5787.1,5842.5,20.27,,,,
216,07/13/18 10:59:04 PM,5788.4,5843.8,20.27,,,,
217,07/13/18 11:29:04 PM,5787.1,5844.5,20.27,,,,
218,07/13/18 11:59:04 PM,5787.1,5843.8,20.27,,,,
219,07/14/18 12:29:04 AM,5787.1,5844.5,20.27,,,,
220,07/14/18 12:59:04 AM,5789.8,5844.5,20.27,,,,
221,07/14/18 01:29:04 AM,5789.8,5844.5,20.27,,,,
222,07/14/18 01:59:04 AM,5789.8,5844.5,20.27,,,,
223,07/14/18 02:29:04 AM,5789.8,5844.5,20.27,,,,
224,07/14/18 02:59:04 AM,5789.8,5845.8,20.27,,,,
225,07/14/18 03:29:04 AM,5789.8,5844.5,20.27,,,,
226,07/14/18 03:59:04 AM,5793.2,5845.8,20.29,,,,
227,07/14/18 04:29:04 AM,5789.8,5845.8,20.29,,,,
228,07/14/18 04:59:04 AM,5791.1,5845.8,20.27,,,,
229,07/14/18 05:29:04 AM,5971.6,6033.4,20.42,,,,
230,07/14/18 05:59:04 AM,5926.8,5987.7,20.33,,,,
231,07/14/18 06:29:04 AM,5904.1,5966.5,20.32,,,,
232,07/14/18 06:59:04 AM,5901.4,5961.9,20.32,,,,
233,07/14/18 07:29:04 AM,5900.7,5959.9,20.31,,,,
234,07/14/18 07:59:04 AM,5891.1,5952.0,20.31,,,,
235,07/14/18 08:29:04 AM,5884.2,5944.7,20.31,,,,
236,07/14/18 08:59:04 AM,5886.2,5944.0,20.32,,,,
237,07/14/18 09:29:04 AM,5884.9,5942.1,20.31,,,,
238,07/14/18 09:59:04 AM,5880.8,5940.1,20.32,,,,
239,07/14/18 10:29:04 AM,5884.2,5938.1,20.32,,,,
240,07/14/18 10:59:04 AM,5880.8,5938.8,20.32,,,,
241,07/14/18 11:29:04 AM,5881.4,5938.1,20.32,,,,
242,07/14/18 11:59:04 AM,5881.4,5936.8,20.31,,,,
243,07/14/18 12:29:04 PM,5878.0,5936.8,20.31,,,,
244,07/14/18 12:59:04 PM,5882.8,5936.8,20.30,,,,
245,07/14/18 01:29:04 PM,5881.4,5936.1,20.31,,,,
246,07/14/18 01:59:04 PM,5881.4,5936.1,20.30,,,,
247,07/14/18 02:29:04 PM,5881.4,5936.1,20.30,,,,
248,07/14/18 02:59:04 PM,5877.3,5934.8,20.30,,,,
249,07/14/18 03:29:04 PM,5880.8,5934.8,20.29,,,,
250,07/14/18 03:59:04 PM,5877.3,5934.8,20.29,,,,
251,07/14/18 04:29:04 PM,5880.8,5934.1,20.29,,,,
252,07/14/18 04:59:04 PM,5876.0,5932.8,20.29,,,,
253,07/14/18 05:29:04 PM,5873.2,5932.2,20.27,,,,
254,07/14/18 05:59:04 PM,5877.3,5930.8,20.27,,,,
255,07/14/18 06:29:04 PM,5876.0,5930.8,20.26,,,,
256,07/14/18 06:59:04 PM,5872.5,5930.2,20.26,,,,
257,07/14/18 07:29:04 PM,5872.5,5928.9,20.26,,,,
258,07/14/18 07:59:04 PM,5871.2,5928.9,20.26,,,,
259,07/14/18 08:29:04 PM,5867.7,5926.9,20.25,,,,
260,07/14/18 08:59:04 PM,5872.5,5926.9,20.25,,,,
261,07/14/18 09:29:04 PM,5871.2,5926.2,20.24,,,,
262,07/14/18 09:59:04 PM,5870.5,5926.2,20.24,,,,
263,07/14/18 10:29:04 PM,5870.5,5924.9,20.24,,,,
264,07/14/18 10:59:04 PM,5870.5,5924.2,20.24,,,,
265,07/14/18 11:29:04 PM,5869.1,5922.2,20.24,,,,
266,07/14/18 11:59:04 PM,5866.4,5922.2,20.24,,,,
267,07/15/18 12:29:04 AM,5867.7,5922.2,20.24,,,,
268,07/15/18 12:59:04 AM,5865.7,5922.2,20.23,,,,
269,07/15/18 01:29:04 AM,5866.4,5920.9,20.23,,,,
270,07/15/18 01:59:04 AM,5866.4,5920.9,20.23,,,,
271,07/15/18 02:29:04 AM,5865.7,5920.9,20.23,,,,
272,07/15/18 02:59:04 AM,5865.7,5920.3,20.23,,,,
273,07/15/18 03:29:04 AM,5865.7,5918.9,20.23,,,,
274,07/15/18 03:59:04 AM,5865.7,5918.9,20.23,,,,
275,07/15/18 04:29:04 AM,5865.7,5917.0,20.23,,,,
276,07/15/18 04:59:04 AM,5864.3,5918.3,20.23,,,,
277,07/15/18 05:29:04 AM,5860.9,5917.6,20.23,,,,
278,07/15/18 05:59:04 AM,5872.5,5927.5,20.22,,,,
279,07/15/18 06:29:04 AM,5952.3,6014.8,20.22,,,,
280,07/15/18 06:59:04 AM,5955.7,6017.5,20.19,,,,
281,07/15/18 07:29:04 AM,5955.7,6013.5,20.23,,,,
282,07/15/18 07:59:04 AM,5957.1,6015.5,20.24,,,,
283,07/15/18 08:29:04 AM,5952.3,6008.9,20.25,,,,
284,07/15/18 08:59:04 AM,5947.4,6002.3,20.26,,,,
285,07/15/18 09:29:04 AM,5942.6,6000.3,20.26,,,,
286,07/15/18 09:59:04 AM,5941.2,5998.9,20.26,,,,
287,07/15/18 10:29:04 AM,5942.6,6000.9,20.27,,,,
288,07/15/18 10:59:04 AM,5946.1,6002.3,20.27,,,,
289,07/15/18 11:29:04 AM,5945.4,6000.9,20.29,,,,
290,07/15/18 11:59:04 AM,5946.1,6002.3,20.29,,,,
291,07/15/18 12:29:04 PM,5945.4,6000.9,20.29,,,,
292,07/15/18 12:59:04 PM,5944.0,6000.9,20.29,,,,
293,07/15/18 01:29:04 PM,5948.8,6002.3,20.29,,,,
294,07/15/18 01:59:04 PM,5945.4,6002.9,20.30,,,,
295,07/15/18 02:29:04 PM,5948.8,6004.2,20.30,,,,
296,07/15/18 02:59:04 PM,5946.1,6004.9,20.30,,,,
297,07/15/18 03:29:04 PM,5945.4,6004.9,20.30,,,,
298,07/15/18 03:59:04 PM,5947.4,6004.2,20.30,,,,
299,07/15/18 04:29:04 PM,5948.8,6002.9,20.30,,,,
300,07/15/18 04:59:04 PM,5947.4,6002.3,20.30,,,,
301,07/15/18 05:29:04 PM,5947.4,6002.3,20.30,,,,
302,07/15/18 05:59:04 PM,5944.0,6000.9,20.30,,,,
303,07/15/18 06:29:04 PM,5947.4,6000.9,20.30,,,,
304,07/15/18 06:59:04 PM,5947.4,6002.3,20.30,,,,
305,07/15/18 07:29:04 PM,5944.0,6000.3,20.29,,,,
306,07/15/18 07:59:04 PM,5947.4,6000.3,20.30,,,,
307,07/15/18 08:29:04 PM,5942.6,6000.3,20.30,,,,
308,07/15/18 08:59:04 PM,5946.7,6000.3,20.30,,,,
309,07/15/18 09:29:04 PM,5942.6,5998.9,20.30,,,,
310,07/15/18 09:59:04 PM,5942.6,5998.3,20.30,,,,
311,07/15/18 10:29:04 PM,5942.6,5998.9,20.31,,,,
312,07/15/18 10:59:04 PM,5941.9,5998.9,20.30,,,,
313,07/15/18 11:29:04 PM,5941.9,5998.3,20.31,,,,
314,07/15/18 11:59:04 PM,5941.9,5998.3,20.30,,,,
315,07/16/18 12:29:04 AM,5942.6,5998.3,20.31,,,,
316,07/16/18 12:59:04 AM,5940.5,5997.0,20.31,,,,
317,07/16/18 01:29:04 AM,5944.0,5998.3,20.31,,,,
318,07/16/18 01:59:04 AM,5940.5,5998.9,20.31,,,,
